ID,Year,Country,Continent,Population ,GDP (USD),GDP in Million (USD)
23,2022,Uganda,East Africa,47992685,45559000000,45559
46,2022,Burundi,East Africa,12504404,3073414678,3073.414678
69,2022,Djibouti,East Africa,1007062,3515109075,3515.109075
92,2022,Zambia,East Africa,19244849,29784000000,29784
115,2022,Zimbabwe,East Africa,15412353,20678000000,20678
138,2022,Kenya,East Africa,56031570,1.13E+11,113420
161,2022,Union of the Comors,East Africa,902348,1242519407,1242.519407
184,2022,Mauritius,East Africa,1280936,12898000000,12898
207,2022,Madagascar,East Africa,28876295,14955000000,14955
253,2022,Malawi,East Africa,20053121,13165000000,13165
276,2022,Mozambique,East Africa,32560330,17851000000,17851
322,2022,Rwanda,East Africa,13412558,13313000000,13313
345,2022,Seyshelles,East Africa,99449,1588406479,1588.406479
368,2022,Somalia,East Africa,16419535,8126105600,8126.1056
391,2022,Tanzania,East Africa,62649363,75709000000,75709
437,2022,Ethiopia,East Africa,119346275,1.27E+11,126780
483,2022,Sudan,North Africa,45225449,51662000000,51662
506,2022,Algeria,North Africa,45137119,1.92E+11,191910
529,2022,Egypt,North Africa,105838455,4.77E+11,476750
575,2022,Libya,North Africa,6830087,45752000000,45752
598,2022,Morocco,North Africa,37701643,1.34E+11,134180
621,2022,Tunisia,North Africa,12022316,46665000000,46665
644,2022,Botswana,South Africa,2421458,20352000000,20352
667,2022,Lesotho,South Africa,2185368,2553459763,2553.459763
690,2022,Namibia,South Africa,2633918,12607000000,12607
713,2022,Eswatini,South Africa,1201670,4854167638,4854.167638
736,2022,South Africa,South Africa,60216602,4.06E+11,405870
759,2022,Angola,Central Africa,34511514,1.07E+11,106710
782,2022,Gabon,Central Africa,2299110,21072000000,21072
805,2022,Cameroon,Central Africa,27543748,44342000000,44342
828,2022,Democratic Republic of the Congo,Central Africa,93852092,58066000000,58066
851,2022,Republic of the Congo,Central Africa,5731375,14616000000,14616
874,2022,Sao Tome and Principe,Central Africa,226575,546680342,546.680342
897,2022,Central African Republic,Central Africa,4976146,2382618615,2382.618615
920,2022,Chad,Central Africa,17274363,12704000000,12704
943,2022,Equatorial Guinea,Central Africa,1462408,11814000000,11814
966,2022,Benin,West Africa,12614586,17402000000,17402
989,2022,Burkina Faso,West Africa,21840865,18885000000,18885
1012,2022,Gambia,West Africa,2539001,2273060863,2273.060863
1035,2022,Ghana,West Africa,32235099,72839000000,72839
1058,2022,Guinea,West Africa,13662711,21228000000,21228
1081,2022,Guinea-Bissau,West Africa,2039724,1633559092,1633.559092
1104,2022,Cape Verde,West Africa,566252,2314816792,2314.816792
1150,2022,Liberia,West Africa,5258865,4001047150,4001.04715
1173,2022,Mauritania,West Africa,4818970,10375000000,10375
1196,2022,Mali,West Africa,21159041,18827000000,18827
1219,2022,Niger,West Africa,25693114,13970000000,13970
1242,2022,Nigeria,West Africa,214568727,4.77E+11,477390
1288,2022,Senegal,West Africa,17559867,27684000000,27684
1311,2022,Sierra Leone,West Africa,8249189,3970343852,3970.343852
1334,2022,Togo,West Africa,8623451,8126439481,8126.439481
