Country,GDP (in billion)
"Afghanistan, Rep. of.",24.304
Albania,16.053
Algeria,203.449
Angola,151.089
Antigua and Barbuda,1.494
Argentina,347.731
Armenia,10.821
Australia,"1,125.82"
Austria,430.611
Azerbaijan,65.776
"Bahamas, The",8.287
Bahrain,27.165
Bangladesh,133.176
Barbados,4.445
Belarus,91.501
Belgium,535.079
Belize,1.787
Benin,9.483
Bhutan,2.174
Bolivia,24.925
Bosnia and Herzegovina,23.616
Botswana,15.032
Brazil,"2,155.68"
Brunei Darussalam,17.039
Bulgaria,58.117
Burkina Faso,11.402
Burundi,1.835
Cambodia,17.458
Cameroon,29.758
Canada,"1,713.41"
Cape Verde,2.689
Central African Republic,2.776
Chad,9.205
Chile,183.909
China,"8,283.35"
Colombia,319.728
Comoros,0.733
"Congo, Democratic Republic of",17.352
"Congo, Republic of",12.671
Costa Rica,38.891
Côte d'Ivoire,32.546
Croatia,79.296
Cyprus,29.483
Czech Republic,264.418
Denmark,383.979
Djibouti,1.779
Dominica,0.465
Dominican Republic,58.575
Ecuador,73.444
Egypt,299.121
El Salvador,29.167
Equatorial Guinea,14.881
Eritrea,3.663
Estonia,21.09
Ethiopia,40.432
Fiji,3.683
Finland,293.345
France,"3,089.18"
Gabon,14.693
"Gambia, The",0.944
Georgia,14.377
Germany,"3,485.90"
Ghana,22.631
Greece,387.042
Grenada,0.844
Guatemala,41.885
Guinea,6.377
Guinea-Bissau,0.578
Guyana,1.658
Haiti,8.669
Honduras,21.707
Hong Kong SAR,271.4
Hungary,166.299
Iceland,12.527
India,"1,908.33"
Indonesia,777.89
"Iran, Islamic Republic of",454.918
Ireland,243.05
Israel,270.446
Italy,"2,355.35"
Jamaica,14.694
Japan,"5,791.63"
Jordan,33.304
Kazakhstan,199.333
Kenya,55.078
Kiribati,0.129
Korea,"1,167.69"
Kuwait,174.939
Kyrgyz Republic,6.323
Lao People's Democratic Republic,8.374
Latvia,25.732
Lebanon,45.994
Lesotho,1.999
Liberia,1.665
Libya,109.604
Lithuania,41.173
Luxembourg,56.04
"Macedonia, Former Yugoslav Republic of",12.566
Madagascar,12.692
Malawi,9.679
Malaysia,293.746
Maldives,1.914
Mali,12.333
Malta,9.668
Mauritania,6.045
Mauritius,11.629
Mexico,"1,273.56"
Moldova,6.052
Mongolia,7.595
Morocco,128.427
Mozambique,12.755
Myanmar,33.92
Namibia,10.414
Nepal,22.757
Netherlands,902.03
New Zealand,129.843
Nicaragua,7.125
Niger,8.076
Nigeria,251.306
Norway,454.533
Oman,76.1
Pakistan,219.322
Panama,38.809
Papua New Guinea,9.077
Paraguay,18.788
Peru,164.355
Philippines,212.469
Poland,535.655
Portugal,246.824
Qatar,178.953
Romania,274.083
Russia,"2,127.58"
Rwanda,7.251
Samoa,0.769
São Tomé and Príncipe,0.258
Saudi Arabia,601.387
Senegal,17.473
Serbia,61.11
Seychelles,1.084
Sierra Leone,2.871
Singapore,216.372
Slovak Republic,122.589
Slovenia,63.417
Solomon Islands,1.086
South Africa,349.581
Spain,"1,567.79"
Sri Lanka,51.097
St. Kitts and Nevis,0.65
St. Lucia,1.26
St. Vincent and the Grenadines,0.826
Sudan,98.222
Suriname,6.259
Swaziland,3.402
Sweden,547.595
Switzerland,525.688
Syrian Arab Republic,90.182
Taiwan Province of China,488.158
Tajikistan,8.713
Tanzania,33.392
Thailand,375.689
"Timor-Leste, Dem. Rep. of",1.337
Togo,3.603
Tonga,0.352
Trinidad and Tobago,38.656
Tunisia,53.775
Turkey,710.833
Turkmenistan,0
Uganda,22.991
Ukraine,175.949
United Arab Emirates,356.668
United Kingdom,"2,919.12"
United States,"17,419.35"
Uruguay,63.167
Uzbekistan,58.224
Vanuatu,0.804
Venezuela,409.562
Vietnam,148.914
"Yemen, Republic of",42.687
Zambia,23.613
Zimbabwe,6.851
