Country,GDP (in billion)
"Afghanistan, Rep. of.",24.30
Albania,16.05
Algeria,203.45
Angola,151.09
Antigua and Barbuda,1.49
Argentina,347.73
Armenia,10.82
Australia,1125.82
Austria,430.61
Azerbaijan,65.78
"Bahamas, The",8.29
Bahrain,27.17
Bangladesh,133.18
Barbados,4.45
Belarus,91.50
Belgium,535.08
Belize,1.79
Benin,9.48
Bhutan,2.17
Bolivia,24.93
Bosnia and Herzegovina,23.62
Botswana,15.03
Brazil,2155.68
Brunei Darussalam,17.04
Bulgaria,58.12
Burkina Faso,11.40
Burundi,1.84
Cambodia,17.46
Cameroon,29.76
Canada,1713.41
Cape Verde,2.69
Central African Republic,2.78
Chad,9.21
Chile,183.91
China,8283.35
Colombia,319.73
Comoros,0.73
"Congo, Democratic Republic of",17.35
"Congo, Republic of",12.67
Costa Rica,38.89
Côte d'Ivoire,32.55
Croatia,79.30
Cyprus,29.48
Czech Republic,264.42
Denmark,383.98
Djibouti,1.78
Dominica,0.47
Dominican Republic,58.58
Ecuador,73.44
Egypt,299.12
El Salvador,29.17
Equatorial Guinea,14.88
Eritrea,3.66
Estonia,21.09
Ethiopia,40.43
Fiji,3.68
Finland,293.35
France,3089.18
Gabon,14.69
"Gambia, The",0.94
Georgia,14.38
Germany,3485.90
Ghana,22.63
Greece,387.04
Grenada,0.84
Guatemala,41.89
Guinea,6.38
Guinea-Bissau,0.58
Guyana,1.66
Haiti,8.67
Honduras,21.71
Hong Kong SAR,271.40
Hungary,166.30
Iceland,12.53
India,1908.33
Indonesia,777.89
"Iran, Islamic Republic of",454.92
Ireland,243.05
Israel,270.45
Italy,2355.35
Jamaica,14.69
Japan,5791.63
Jordan,33.30
Kazakhstan,199.33
Kenya,55.08
Kiribati,0.13
Korea,1167.69
Kuwait,174.94
Kyrgyz Republic,6.32
Lao People's Democratic Republic,8.37
Latvia,25.73
Lebanon,45.99
Lesotho,2.00
Liberia,1.67
Libya,109.60
Lithuania,41.17
Luxembourg,56.04
"Macedonia, Former Yugoslav Republic of",12.57
Madagascar,12.69
Malawi,9.68
Malaysia,293.75
Maldives,1.91
Mali,12.33
Malta,9.67
Mauritania,6.05
Mauritius,11.63
Mexico,1273.56
Moldova,6.05
Mongolia,7.60
Morocco,128.43
Mozambique,12.76
Myanmar,33.92
Namibia,10.41
Nepal,22.76
Netherlands,902.03
New Zealand,129.84
Nicaragua,7.13
Niger,8.08
Nigeria,251.31
Norway,454.53
Oman,76.10
Pakistan,219.32
Panama,38.81
Papua New Guinea,9.08
Paraguay,18.79
Peru,164.36
Philippines,212.47
Poland,535.66
Portugal,246.82
Qatar,178.95
Romania,274.08
Russia,2127.58
Rwanda,7.25
Samoa,0.77
São Tomé and Príncipe,0.26
Saudi Arabia,601.39
Senegal,17.47
Serbia,61.11
Seychelles,1.08
Sierra Leone,2.87
Singapore,216.37
Slovak Republic,122.59
Slovenia,63.42
Solomon Islands,1.09
South Africa,349.58
Spain,1567.79
Sri Lanka,51.10
St. Kitts and Nevis,0.65
St. Lucia,1.26
St. Vincent and the Grenadines,0.83
Sudan,98.22
Suriname,6.26
Swaziland,3.40
Sweden,547.60
Switzerland,525.69
Syrian Arab Republic,90.18
Taiwan Province of China,488.16
Tajikistan,8.71
Tanzania,33.39
Thailand,375.69
"Timor-Leste, Dem. Rep. of",1.34
Togo,3.60
Tonga,0.35
Trinidad and Tobago,38.66
Tunisia,53.78
Turkey,710.83
Turkmenistan,0.00
Uganda,22.99
Ukraine,175.95
United Arab Emirates,356.67
United Kingdom,2919.12
United States of America,17419.35
Uruguay,63.17
Uzbekistan,58.22
Vanuatu,0.80
Venezuela,409.56
Vietnam,148.91
"Yemen, Republic of",42.69
Zambia,23.61
Zimbabwe,6.85
